principio,cnpj,Laboratorio,codigoGGREM,registro,ean,nome,apresentacao,classeTerapeutica
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510412020063003,1542301160050,7899095235489,BRONTEK,10 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510412020063103,1542301160069,7899095235502,BRONTEK,10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413301132119,1542301230016,7899095233027,ACEBROFILINA,10MG/ML XPE CT FR VD AMB X 120ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413303135115,1542301230059,7899095235441,ACEBROFILINA,10 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413304131113,1542301230067,7899095235458,ACEBROFILINA,10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413402133412,1542301160018,7899095203594,BRONTEK,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538808902139411,1677301840026,7896004710549,BRONCOLEX,10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538820102139114,1677303210021,7894916140485,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,09.545.589/0001-88,MABRA FARMACÊUTICA LTDA.,540500802131415,1779400170013,7898505091004,BRONFILIL,10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES
ACEBROFILINA,10.588.595/0007-97,MEDLEY FARMACÊUTICA LTDA,525064504139119,1832600370032,7896422509244,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR ,R05C0 - EXPECTORANTES
ACEBROFILINA,17.115.437/0001-73,LABORATÓRIO GLOBO LTDA,517609502138419,1053501620024,7898060132198,RESPIRAN,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520712070082606,1037004620131,7896112159070,ACEBROFILINA,10 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520715080095006,1037004620253,7896112191537,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520723901135111,1037004620059,7896112115465,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120ML ,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520733801133414,1037005630031,7896112159254,DILABRONCO,10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA,519001802138411,1046502310018,7896714227788,BRONDYNEO,10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA,519024201130113,1046504180030,7896714214146,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526116090097406,1058303150049,7896004710495,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526119401131111,1058303150022,7896004710495,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,53.162.095/0001-06,BIOSINTÉTICA FARMACÊUTICA LTDA,521116040063206,1121303330044,7896181924081,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,53.162.095/0001-06,BIOSINTÉTICA FARMACÊUTICA LTDA,521121501137116,1121303330028,7896181924081,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,57.507.378/0001-01,EMS S/A,507728902132114,1023506580029,7896004710471,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,57.507.378/0001-01,EMS S/A,507731401130410,1023507750025,7896004710549,BRONCOLEX,10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500501201132417,1057301270065,7896658002113,BRONDILAT,10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500501204131314,1057301270091,7896658012167,BRONDILAT,10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533013020059006,1049713180054,7896006205593,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508015901138411,1004311580023,7891317004439,FILINAR,10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017402139115,1004307850021,7891317002695,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,72.593.791/0001-11,NOVA QUIMICA FARMACÊUTICA S/A,525305101134112,1267500710022,7895296271028,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,R05C0 - EXPECTORANTES
ACEBROFILINA,72.593.791/0001-11,NOVA QUIMICA FARMACÊUTICA S/A,525305103137119,1267500710049,7895296271035,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525701135113,1256801590063,7898148292882,ACEBROFILINA,10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525706137114,1256801590071,7898148292851,ACEBROFILINA,10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525709136119,1256801590101,7898148292899,ACEBROFILINA,10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525710134116,1256801590098,7898148292905,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113100013504,1038501090048,7898109241928,LISOMUC,10 MG / ML XPE CT FR VD AMB X 100 ML + COP ,R05C0 - EXPECTORANTES
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113100013604,1038501090056,7898109241935,LISOMUC,10 MG / ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113100013704,1038501090064,7898109248989,LISOMUC,10 MG / ML XPE CX 50 FR PET AMB X 120 ML + COP (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531618502132416,1356903940019,7894916504089,EXPECDILAT,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506409802132111,1438101310021,7896523209128,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506414100028606,1438101310046,7896523209104,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510412020063203,1542301160077,7899095235496,BRONTEK,5 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510412020063303,1542301160085,7899095235519,BRONTEK,5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413302139117,1542301230032,7899095233034,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413305138111,1542301230075,7899095235465,ACEBROFILINA,5 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413306134111,1542301230083,7899095235472,ACEBROFILINA,5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510413401137414,1542301160034,7899095203600,BRONTEK,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538808901132413,1677301840018,7896004710532,BRONCOLEX,5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538820101132116,1677303210011,7894916140492,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,09.545.589/0001-88,MABRA FARMACÊUTICA LTDA.,540500801135417,1779400170021,7898505091011,BRONFILIL,5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES
ACEBROFILINA,10.588.595/0007-97,MEDLEY FARMACÊUTICA LTDA,525064501131117,1832600370016,7896422509251,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  ,R05C0 - EXPECTORANTES
ACEBROFILINA,17.115.437/0001-73,LABORATÓRIO GLOBO LTDA,517609501131410,1053501620016,7898060133577,RESPIRAN,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520712070082506,1037004620091,7896112159049,ACEBROFILINA,5 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520715080094906,1037004620296,7896112191490,ACEBROFILINA,5MG/ML XPE CT FR PLAS AMB X 120ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520723902131118,1037004620016,7896112115472,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120ML ,R05C0 - EXPECTORANTES
ACEBROFILINA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520733802131415,1037005630066,7896112159223,DILABRONCO,5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA,519001801131413,1046502310026,7896714227771,BRONDYNEO,25MG/5ML XPE INF (VD C/120ML),R05C0 - EXPECTORANTES
ACEBROFILINA,29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA,519024202137111,1046504180014,7896714214115,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526116090097106,1058303150030,7896004710488,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526119402136117,1058303150014,7896004710488,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,53.162.095/0001-06,BIOSINTÉTICA FARMACÊUTICA LTDA,521116040063106,1121303330036,7896181924098,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,53.162.095/0001-06,BIOSINTÉTICA FARMACÊUTICA LTDA,521121502133114,1121303330011,7896181924098,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,R05C0 - EXPECTORANTES
ACEBROFILINA,57.507.378/0001-01,EMS S/A,507728901136116,1023506580010,7896004710464,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,57.507.378/0001-01,EMS S/A,507731402137419,1023507750017,7896004710532,BRONCOLEX,5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500501202139415,1057301270073,7896658002120,BRONDILAT,5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500501203135316,1057301270111,7896658012174,BRONDILAT,5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES
ACEBROFILINA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533020001132116,1049713180011,7896006259152,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD,R05C0 - EXPECTORANTES
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508015902134418,1004311580015,7891317004378,FILINAR,5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017401132117,1004307850011,7891317002688,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,72.593.791/0001-11,NOVA QUIMICA FARMACÊUTICA S/A,525305102130110,1267500710014,7895296271011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ,R05C0 - EXPECTORANTES
ACEBROFILINA,72.593.791/0001-11,NOVA QUIMICA FARMACÊUTICA S/A,525305104133117,1267500710030,7895296271042,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525703138111,1256801590020,7898148292776,ACEBROFILINA,5 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525704134118,1256801590039,7898148292745,ACEBROFILINA,5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525711130114,1256801590111,7898148292783,ACEBROFILINA,5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525712137112,1256801590128,7898148292790,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113100013204,1038501090013,1038501090013,LISOMUC,5 MG / ML XPE  CT FR VD AMB X 100 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113100013304,1038501090021,7898109241959,LISOMUC,5 MG / ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES
ACEBROFILINA,83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,517113100013404,1038501090031,7898109248972,LISOMUC,5 MG / ML XPE CX  50 FR PET AMB X 120 ML + COP (EMB HOSP),R05C0 - EXPECTORANTES
ACECLOFENACO,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538812070042306,1677303570034,7894916144803,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538813080046904,1677300650101,7896004722726,ACECLO-GRAN,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533512090023004,1039200560043,7898049795611,CECLOFLAN,100 MG COM REV CT ENV AL X 12 ,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533514080027106,1039201720011,7898049795260,ACECLOFENACO,100 MG COM REV CT ENV AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533514080027206,1039201720028,7898049795277,ACECLOFENACO,100 MG COM REV CT ENV AL X 16,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533514080027306,1039201720036,7898049795284,ACECLOFENACO,100 MG COM REV CT ENV AL X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,533514080027406,1039201720044,7898049795291,ACECLOFENACO,100 MG COM REV CT ENV AL X 480 (EMB HOSP),M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526112030083206,1058307420075,7896004722153,ACECLOFENACO,100 MG COM REV CT BL AL PLAS OPC X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526112030083306,1058307420032,7896004722146,ACECLOFENACO,100 MG COM REV CT BL AL PLAS OPC X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526112070085006,1058307420040,7896004722146,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526112070085106,1058307420083,7896004722153,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,57.507.378/0003-65,EMS S/A,541812060000106,1023510530030,7896004722122,ACECLOFENACO,100 MG  COM  REV CT BL AL PLAS OPC X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,57.507.378/0003-65,EMS S/A,541812070001306,1023510530049,7896004722122,ACECLOFENACO,100 MG  COM  REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,57.507.378/0003-65,EMS S/A,541812090003803,1023509200103,7896004722405,FEBUPEN,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508011302116319,1004308170030,7891317411923,PROFLAM,100 MG COM REV CT BL AL/AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
ACECLOFENACO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508011305115313,1004308170091,7891317440312,PROFLAM,100 MG COM REV CT BL AL / AL X 6,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS
